id,Sex,Length,Diameter,Height,Weight,Shucked Weight,Viscera Weight,Shell Weight,Age
217,I,0.9875,0.7125,0.2375,8.4198015,3.912231,1.74349425,2.551455,7.0
218,M,1.0125,0.775,0.2375,10.61688775,4.7343665,2.08368825,3.118445,11.0
219,F,1.6125,1.2,0.425,36.967748,17.10892325,7.41339425,9.4970825,9.0
220,M,0.7,0.6,0.175,4.252425,1.65844575,1.0489315,1.2757275,11.0
221,M,1.6125,1.25,0.45,36.85435,17.56251525,7.1724235,10.56018875,10.0
222,I,0.95,0.75,0.2375,7.8528115,3.35941575,1.77184375,2.26796,7.0
223,F,1.2875,1.0,0.3125,17.4349425,7.58349125,4.6209685,5.2446575,10.0
224,F,1.4375,1.1375,0.425,27.0170735,11.49572225,6.67630725,7.654365,12.0
225,I,1.075,0.85,0.2625,11.38232425,5.556502,2.62232875,2.6932025,7.0
226,F,1.6375,1.3125,0.475,38.220173,16.3009625,8.561549,11.623295,13.0
227,F,1.5,1.2,0.4,31.18445,11.69416875,7.3992195,10.77281,15.0
228,M,1.3125,0.975,0.35,17.36406875,6.2085405,4.252425,5.953395,17.0
229,M,1.5625,1.2625,0.475,34.2178465,13.99047825,6.2652395,10.3475675,18.0
230,F,1.6125,1.3,0.5,37.74735925,15.46465225,8.17883075,11.3398,10.0
231,F,1.5625,1.175,0.4125,33.0271675,16.4710595,8.3064035,8.50485,9.0
232,I,1.1875,0.8875,0.3125,12.927372,5.74077375,2.79242575,4.3941725,7.0
233,I,1.1,0.85,0.2625,9.02931575,4.69184225,1.85689225,2.9766975,8.0
234,I,1.1375,0.9375,0.275,12.757275,5.896696,2.891649,3.40194,8.0
235,I,1.3375,1.05,0.35,21.44639675,9.2135875,4.57844425,5.8116475,9.0
236,F,1.4625,1.1375,0.4125,27.71163625,12.1619355,6.010094,9.4970825,11.0
237,F,1.475,1.15,0.3875,26.365035,11.92096475,6.463686,7.5126175,11.0
238,M,1.525,1.175,0.4125,31.99241075,13.947954,6.8322295,9.07184,11.0
239,F,1.6625,1.2875,0.475,40.766581,14.628342,10.19164525,11.3398,11.0
240,F,1.5,1.2375,0.5,35.0116325,14.98271075,7.07320025,10.6310625,18.0
241,I,0.9125,0.675,0.2,6.70465675,3.061746,1.43164975,1.984465,6.0
242,I,0.8625,0.65,0.225,5.7549485,2.7499015,1.0489315,1.5592225,7.0
243,M,1.4625,1.1375,0.4,25.44367625,9.85145125,5.159609,7.7961125,10.0
244,M,1.6125,1.225,0.4,32.72949775,16.93882625,6.56290925,8.6465975,10.0
245,I,0.825,0.575,0.225,3.6003865,1.8427175,0.9355335,1.2757275,6.0
246,M,1.5625,1.175,0.425,27.00289875,10.432616,7.257472,9.07184,11.0
247,F,1.1625,0.925,0.3125,14.628342,6.6621325,3.742134,4.3941725,9.0
248,I,1.3125,0.975,0.35,18.27125275,8.12213175,3.95475525,4.53592,9.0
249,F,1.4,1.1,0.375,24.7491135,12.57300325,4.89028875,5.2446575,9.0
250,F,1.375,1.0875,0.35,22.97726975,10.149121,4.422522,6.9456275,9.0
251,I,1.3125,1.025,0.325,17.633389,8.00873375,3.64291075,5.953395,9.0
252,M,1.5625,1.25,0.4375,35.47939925,15.762322,7.47009325,10.3475675,12.0
253,M,1.675,1.3125,0.425,38.4702715,15.57805025,7.824462,10.149121,14.0
254,F,1.4125,1.1,0.3625,25.41532675,12.8423235,6.02426875,6.80388,10.0
255,F,1.6,1.2625,0.4375,38.215126,16.68368075,8.901743,10.0640725,11.0
256,I,1.025,0.7875,0.2375,8.618248,3.98310475,1.587572,2.551455,7.0
257,M,1.5875,1.2875,0.4,34.529691,14.33067225,8.43397625,9.7805775,9.0
258,F,1.475,1.15,0.4,28.462898,13.13999325,6.98815175,8.9300925,9.0
259,M,1.65,1.25,0.4375,41.8722115,17.690088,8.448151,11.056305,11.0
260,I,0.7,0.5375,0.1875,3.6570855,1.5025235,0.94970825,0.9922325,4.0
261,F,1.65,1.2625,0.3875,36.570855,17.293195,7.711064,9.4970825,11.0
262,I,0.9375,0.6875,0.2375,6.123492,2.82077525,1.304077,1.984465,7.0
263,F,1.525,1.1875,0.4,31.56716825,14.47241975,6.76135575,8.9300925,11.0
264,M,1.4,1.1125,0.4,25.8263945,10.6310625,6.36446275,7.7961125,9.0
265,I,1.175,0.9375,0.3,16.45688475,8.12213175,3.8271825,4.819415,8.0
266,I,0.925,0.6875,0.225,6.25106475,2.56562975,1.54504775,1.984465,8.0
267,F,1.55,1.175,0.425,33.57998275,14.855138,6.76135575,8.788345,10.0
268,I,0.875,0.6375,0.2,5.03203625,2.1829115,1.00640725,1.8427175,5.0
269,M,1.3125,1.0125,0.35,20.31241675,8.3631025,4.52174525,5.10291,10.0
270,M,1.1875,0.9125,0.2625,14.0330025,6.73300625,2.721552,3.96893,9.0
271,I,0.825,0.65,0.2125,5.88252125,2.041164,1.17650425,1.984465,6.0
272,F,1.125,0.875,0.35,17.7184375,5.273007,4.53592,4.9611625,10.0
273,M,1.575,1.2,0.4625,38.90968875,11.35397475,7.29999625,15.80484625,20.0
274,F,1.6125,1.25,0.4375,36.967748,12.870673,7.4559185,11.056305,15.0
275,I,1.025,0.75,0.25,8.107957,3.69960975,1.4458245,2.551455,7.0
276,M,1.45,1.125,0.35,26.2799865,9.51125725,4.01145425,6.6621325,9.0
277,I,1.1625,0.8625,0.2875,13.90542975,5.96756975,3.69960975,3.5436875,8.0
278,M,1.45,1.1,0.425,27.499015,12.3320325,6.2085405,7.654365,10.0
279,F,1.6375,1.3,0.4875,38.42774725,16.51358375,8.66077225,10.3475675,12.0
280,F,1.5,1.175,0.375,30.94347925,11.92096475,7.01650125,8.9300925,11.0
281,F,1.25,0.95,0.3125,18.83824275,9.31281075,3.84135725,5.2446575,8.0
282,I,0.55,0.4125,0.125,1.3891255,0.60951425,0.26932025,0.4252425,6.0
283,F,1.525,1.2,0.5,37.137845,16.726205,8.09378225,11.623295,14.0
284,F,1.4,1.1,0.4,24.56484175,8.845044,5.17378375,7.7961125,17.0
285,F,1.5625,1.2125,0.4125,30.51823675,13.9196045,6.30776375,8.50485,9.0
286,M,1.4875,1.15,0.3625,27.0170735,11.35397475,6.33611325,7.93786,15.0
287,I,1.2125,0.925,0.3125,14.04717725,6.123492,3.2034935,3.96893,8.0
288,F,1.6875,1.4125,0.5,53.6089045,26.7902775,8.5898985,11.90679,12.0
289,M,1.6,1.275,0.375,38.88133925,16.42853525,8.448151,11.056305,8.0
290,F,1.425,1.125,0.4125,24.6357155,12.06271225,4.83358975,6.80388,12.0
291,I,0.6125,0.4375,0.15,1.94194075,0.793786,0.396893,0.60951425,5.0
292,M,1.425,1.0875,0.3875,25.58542375,11.94931425,5.4714535,7.93786,8.0
293,I,1.0,0.75,0.2375,8.845044,3.515338,1.8994165,2.5798045,7.0
294,F,1.575,1.2125,0.425,33.40988575,11.4248485,6.67630725,10.77281,17.0
295,F,1.575,1.25,0.4125,37.71900975,19.0225145,7.767763,9.63883,12.0
296,I,1.175,0.9375,0.3,15.09610875,6.7188315,3.118445,4.1106775,8.0
297,F,1.5,1.1875,0.425,33.86347775,12.00601325,5.3013565,10.489315,16.0
298,I,1.025,0.775,0.25,10.30504325,4.32329875,2.438057,3.118445,7.0
299,M,1.75,1.375,0.4375,58.6551155,30.37648925,11.5949455,12.54465375,10.0
300,F,1.3125,0.9875,0.325,16.102516,7.3992195,4.309124,5.10291,10.0
301,I,1.1,0.8375,0.3,11.169703,4.706017,2.3530085,3.118445,7.0
302,I,0.8375,0.6125,0.1875,5.2446575,2.25378525,1.1056305,1.417475,6.0
303,I,1.3125,1.025,0.3,14.8834875,6.33611325,3.4869885,4.53592,8.0
304,M,1.45,1.15,0.3625,27.8108595,12.26115875,5.71242425,7.37087,8.0
305,I,1.3375,1.025,0.3625,20.96445525,8.63242275,3.72795925,5.6699,16.0
306,M,1.5625,1.225,0.4,38.51279575,18.5122235,7.200773,11.623295,14.0
307,I,1.1375,0.875,0.2875,13.39513875,5.6415505,2.59397925,4.3941725,11.0
308,F,1.425,1.1,0.375,24.99008425,10.98543125,4.479221,7.2291225,11.0
309,I,1.05,0.8125,0.275,9.4970825,3.47281375,1.80019325,2.9766975,7.0
310,M,1.5625,1.2125,0.4375,39.95862025,16.42853525,7.41339425,13.891255,13.0
311,F,1.325,1.05,0.325,23.0481435,11.1413535,4.72019175,6.520385,9.0
312,I,0.85,0.6625,0.225,6.16601625,2.324659,1.54504775,1.984465,9.0
313,M,1.4875,1.175,0.4125,37.74735925,14.50076925,8.4198015,11.1980525,21.0
